City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Santa Isabel Do Rio Negro,BR,80.89,overcast clouds,-0.4139,-65.0192,Hotel GSA
1,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
5,Rikitea,PF,76.93,light rain,-23.1203,-134.9692,People ThankYou
6,Celestun,MX,76.91,overcast clouds,20.8667,-90.4,Posada Lilia
7,Esperance,AU,62.44,clear sky,-33.8667,121.9,Hospitality Esperance
11,Coquimbo,CL,71.33,clear sky,-29.9533,-71.3436,Hostel Del Puerto
14,Chuy,UY,77.58,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
19,East London,ZA,71.64,overcast clouds,-33.0153,27.9116,Tu Casa
23,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
24,Sur,OM,68.47,clear sky,22.5667,59.5289,Sur Plaza Hotel
26,Butaritari,KI,82.45,few clouds,3.0707,172.7902,Isles Sunset Lodge
29,Hilo,US,75.61,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
32,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
35,Saldanha,ZA,75.25,broken clouds,-33.0117,17.9442,Blue Bay Lodge
37,Sharjah,AE,74.25,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
41,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
42,Bredasdorp,ZA,68.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
44,Bukoba,TZ,67.98,clear sky,-1.3317,31.8122,Elct Bukoba Hotel and Tours
45,San Quintin,MX,69.33,overcast clouds,30.4833,-115.95,Don Eddie's Landing
47,Kiama,AU,69.39,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
48,Ponta Do Sol,PT,63.72,broken clouds,32.6667,-17.1,Hotel do Campo
49,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
54,Antalaha,MG,76.26,moderate rain,-14.9003,50.2788,Hotel Vitasoa
58,Hithadhoo,MV,82.38,light rain,-0.6,73.0833,Scoop Guest House
60,Thanh Hoa,VN,64.44,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
61,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
62,Port Alfred,ZA,71.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
64,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
66,Ascension,US,61.2,overcast clouds,30.2169,-90.9001,Highland Inn
68,Ewa Beach,US,77.02,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
69,Kavieng,PG,82.33,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
70,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
74,Jawhar,SO,74.44,overcast clouds,2.7809,45.5005,hantiwadaag village part one
76,Salinopolis,BR,81.18,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
78,Faanui,PF,78.49,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
80,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
82,Cape Town,ZA,71.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
85,Ugoofaaru,MV,81.45,few clouds,5.6667,73.0,Ungoofaaru Inn
88,Kruisfontein,ZA,67.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
89,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
90,Tocopilla,CL,73.58,broken clouds,-22.092,-70.1979,Hotel Galvarino
91,Takaka,NZ,64.56,scattered clouds,-40.85,172.8,Golden Bay Motels
93,Villa Del Rosario,CO,80.98,broken clouds,7.8339,-72.4742,Hotel Villas de San Diego
94,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
95,Saint George,US,60.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
100,La Libertad,EC,82.06,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
101,Atuona,PF,77.36,light rain,-9.8,-139.0333,Villa Enata
102,Buckeye,US,70.39,overcast clouds,33.3703,-112.5838,"Buckeye Motor Hotel - $99 & UP, ROOMS AVAILABLE, Call for more info"
103,Marsh Harbour,BS,70.47,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
104,Los Llanos De Aridane,ES,60.55,scattered clouds,28.6585,-17.9182,Valle Aridane
105,Cockburn Town,TC,76.44,clear sky,21.4612,-71.1419,Osprey Beach Hotel
109,Cidreira,BR,77.61,clear sky,-30.1811,-50.2056,Hotel Castelo
110,Camabatela,AO,63.81,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
111,Porbandar,IN,62.26,clear sky,21.6422,69.6093,Lords Inn Porbandar
115,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
116,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
117,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
118,Ngunguru,NZ,64.17,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
122,Busselton,AU,63.63,few clouds,-33.65,115.3333,Observatory Guest House
125,Sawtell,AU,64.72,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
126,Kalianget,ID,77.41,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
128,Yanam,IN,72.25,scattered clouds,16.7333,82.2167,The Regency Hotel
130,Sumenep,ID,76.53,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
131,Florestopolis,BR,81.01,overcast clouds,-22.8633,-51.3872,Rancho Caíque
132,Puerto Ayora,EC,84.16,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
135,Asbe Teferi,ET,61.12,broken clouds,9.0833,40.8667,Megenagna hotel
138,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
140,San Isidro,PE,76.59,broken clouds,-12.1167,-77.05,Soul Mate-Inn
147,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
151,Shwebo,MM,63.79,clear sky,22.5667,95.7,MOON SHINE Guest House
