,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.89,79,100,1.3,overcast clouds
1,Acapulco,MX,16.8634,-99.8901,85.82,62,0,8.05,clear sky
2,Kenai,US,60.5544,-151.2583,28.45,100,100,4.61,overcast clouds
3,Jamestown,US,42.097,-79.2353,41.09,52,100,15.01,overcast clouds
4,Nikolskoye,RU,59.7035,30.7861,22.87,94,98,10.56,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,76.93,73,0,20.45,light rain
6,Celestun,MX,20.8667,-90.4,76.91,66,100,15.86,overcast clouds
7,Esperance,AU,-33.8667,121.9,62.44,69,2,11.59,clear sky
8,Chulym,RU,55.0997,80.9572,-14.51,100,100,4.65,overcast clouds
9,Leshukonskoye,RU,64.8989,45.7622,14.27,90,100,13.04,overcast clouds
10,Saint-Augustin,CA,51.226,-58.6502,6.03,94,98,4.0,light snow
11,Coquimbo,CL,-29.9533,-71.3436,71.33,68,0,13.8,clear sky
12,Paamiut,GL,61.994,-49.6678,13.89,94,100,5.86,overcast clouds
13,Port Hardy,CA,50.6996,-127.4199,46.76,93,100,10.36,light rain
14,Chuy,UY,-33.6971,-53.4616,77.58,61,0,12.91,clear sky
15,Upernavik,GL,72.7868,-56.1549,6.94,93,100,4.65,light snow
16,Mastic Beach,US,40.7668,-72.8521,43.99,56,0,3.0,clear sky
17,Punta Arenas,CL,-53.15,-70.9167,57.22,35,100,21.72,overcast clouds
18,Sivas,TR,39.7916,37.0019,34.43,100,100,9.22,mist
19,East London,ZA,-33.0153,27.9116,71.64,76,100,11.9,overcast clouds
20,Khatanga,RU,71.9667,102.5,-11.56,99,100,6.33,overcast clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,20,16.11,few clouds
22,Yakeshi,CN,49.2833,120.7333,-25.56,100,99,1.25,overcast clouds
23,Porto Novo,BJ,6.4965,2.6036,84.02,79,100,10.49,overcast clouds
24,Sur,OM,22.5667,59.5289,68.47,51,0,2.21,clear sky
25,Chunskiy,RU,56.0815,99.6342,3.33,99,100,2.01,overcast clouds
26,Butaritari,KI,3.0707,172.7902,82.45,79,24,17.87,few clouds
27,Baiyin,CN,36.5583,104.2081,9.48,49,7,1.25,clear sky
28,Thompson,CA,55.7435,-97.8558,-18.24,76,75,0.0,broken clouds
29,Hilo,US,19.7297,-155.09,75.61,80,75,5.75,broken clouds
30,Peace River,CA,56.2501,-117.286,34.11,74,0,21.85,clear sky
31,Avarua,CK,-21.2078,-159.775,80.65,78,20,8.05,few clouds
32,Ribeira Grande,PT,38.5167,-28.7,63.0,72,40,20.71,scattered clouds
33,Albany,US,42.6001,-73.9662,34.81,62,96,5.3,overcast clouds
34,Severo-Kurilsk,RU,50.6789,156.125,31.77,80,100,34.99,overcast clouds
35,Saldanha,ZA,-33.0117,17.9442,75.25,86,69,13.29,broken clouds
36,Mataura,NZ,-46.1927,168.8643,52.48,72,90,5.41,overcast clouds
37,Sharjah,AE,25.3573,55.4033,74.25,62,0,4.14,clear sky
38,College,US,64.8569,-147.8028,12.22,85,75,0.0,broken clouds
39,Sukhodol,RU,53.9006,51.2117,7.68,93,95,4.65,overcast clouds
40,Fairbanks,US,64.8378,-147.7164,12.24,85,75,0.0,broken clouds
41,Kahului,US,20.8947,-156.47,77.85,76,20,5.75,few clouds
42,Bredasdorp,ZA,-34.5322,20.0403,68.29,83,100,12.66,overcast clouds
43,Bluff,NZ,-46.6,168.3333,52.81,70,99,10.18,overcast clouds
44,Bukoba,TZ,-1.3317,31.8122,67.98,83,0,9.22,clear sky
45,San Quintin,MX,30.4833,-115.95,69.33,31,100,4.43,overcast clouds
46,Norman Wells,CA,65.282,-126.8329,-11.16,70,100,8.05,light snow
47,Kiama,AU,-34.6833,150.8667,69.39,95,62,1.01,broken clouds
48,Ponta Do Sol,PT,32.6667,-17.1,63.72,69,59,6.82,broken clouds
49,Meulaboh,ID,4.1363,96.1285,75.38,91,96,4.74,overcast clouds
50,Lakhdenpokhya,RU,61.5198,30.1992,24.82,94,100,15.05,overcast clouds
51,Ekibastuz,KZ,51.6667,75.3667,10.53,91,100,4.61,overcast clouds
52,Aklavik,CA,68.2191,-135.0107,-15.77,92,100,4.16,overcast clouds
53,Kodiak,US,57.79,-152.4072,29.71,74,0,0.0,clear sky
54,Antalaha,MG,-14.9003,50.2788,76.26,91,100,4.79,moderate rain
55,Shimoda,JP,34.6667,138.95,37.51,65,100,22.5,overcast clouds
56,Katsuura,JP,35.1333,140.3,40.1,53,93,8.95,overcast clouds
57,Tuatapere,NZ,-46.1333,167.6833,52.83,75,76,3.13,broken clouds
58,Hithadhoo,MV,-0.6,73.0833,82.38,73,100,6.26,light rain
59,Ust-Maya,RU,60.4167,134.5333,-18.36,100,95,1.95,overcast clouds
60,Thanh Hoa,VN,19.8,105.7667,64.44,88,100,2.42,overcast clouds
61,Tautira,PF,-17.7333,-149.15,82.42,82,100,17.76,light rain
62,Port Alfred,ZA,-33.5906,26.891,71.19,79,100,17.38,overcast clouds
63,Dengfeng,CN,34.4553,113.0281,29.14,73,76,2.71,broken clouds
64,Georgetown,MY,5.4112,100.3354,80.53,71,20,8.01,few clouds
65,Te Anau,NZ,-45.4167,167.7167,49.08,75,14,2.39,few clouds
66,Ascension,US,30.2169,-90.9001,61.2,44,100,0.0,overcast clouds
67,Tasiilaq,GL,65.6145,-37.6368,17.76,71,67,7.23,broken clouds
68,Ewa Beach,US,21.3156,-158.0072,77.02,74,100,4.0,overcast clouds
69,Kavieng,PG,-2.5744,150.7967,82.33,75,97,8.93,overcast clouds
70,Saint-Philippe,RE,-21.3585,55.7679,78.39,90,100,14.65,light rain
71,Ushuaia,AR,-54.8,-68.3,56.82,43,40,31.07,scattered clouds
72,Eichstatt,DE,48.8833,11.1833,28.0,86,75,2.3,broken clouds
73,Xining,CN,36.6167,101.7667,17.01,52,9,1.12,clear sky
74,Jawhar,SO,2.7809,45.5005,74.44,78,100,15.41,overcast clouds
75,New Norfolk,AU,-42.7826,147.0587,57.92,69,87,1.23,overcast clouds
76,Salinopolis,BR,-0.6136,-47.3561,81.18,76,85,7.87,overcast clouds
77,Andenes,NO,69.3143,16.1194,35.58,87,75,26.46,broken clouds
78,Faanui,PF,-16.4833,-151.75,78.49,84,100,8.28,moderate rain
79,Alekseyevsk,RU,57.8406,108.3492,-1.35,99,100,2.91,overcast clouds
80,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,11.5,light rain
81,Yilan,TW,24.757,121.753,57.31,93,100,5.21,overcast clouds
82,Cape Town,ZA,-33.9258,18.4232,71.11,64,0,3.0,clear sky
83,Pangnirtung,CA,66.1451,-65.7125,-23.8,76,20,0.0,few clouds
84,Natalio,PY,-26.7167,-55.0833,101.53,9,0,4.92,clear sky
85,Ugoofaaru,MV,5.6667,73.0,81.45,72,20,9.01,few clouds
86,Teya,RU,60.3778,92.6267,-9.26,99,100,2.19,overcast clouds
87,Tiznit,MA,29.5833,-9.5,58.62,40,0,4.74,clear sky
88,Kruisfontein,ZA,-34.0033,24.7314,67.89,84,49,11.72,scattered clouds
89,Mahebourg,MU,-20.4081,57.7,80.26,89,75,11.5,broken clouds
