City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dharchula,IN,29.85,80.5333,42.08,51,42,7.92
1,Ushuaia,AR,-54.8,-68.3,56.82,66,40,36.82
2,Salinopolis,BR,-0.6136,-47.3561,81.88,72,74,8.16
3,Mandera,KE,3.9366,41.867,85.48,27,100,10.54
4,Soyo,AO,-6.1349,12.3689,80.65,82,100,6.87
5,Iqaluit,CA,63.7506,-68.5145,-13.27,69,100,3.0
6,Victoria,HK,22.2855,114.1577,62.33,82,100,5.01
7,Westport,US,41.1415,-73.3579,42.75,56,59,1.01
8,Cidreira,BR,-30.1811,-50.2056,78.51,65,0,11.03
9,Ambilobe,MG,-13.2,49.05,76.64,94,100,2.19
10,Qaanaaq,GL,77.484,-69.3632,-3.64,89,100,6.24
11,Ponta Do Sol,PT,32.6667,-17.1,64.71,70,66,6.93
12,Yegros,PY,-26.45,-56.4,104.05,10,0,7.14
13,Ribeira Grande,PT,38.5167,-28.7,63.0,77,40,18.41
14,Sao Filipe,CV,14.8961,-24.4956,72.61,68,100,6.85
15,Jamestown,US,42.097,-79.2353,41.52,52,100,11.01
16,Dikson,RU,73.5069,80.5464,-6.63,94,100,16.8
17,Cervo,ES,43.6702,-7.4101,51.96,75,0,21.3
18,San Vicente De Canete,PE,-13.0751,-76.3835,75.99,72,45,9.31
19,Bredasdorp,ZA,-34.5322,20.0403,69.28,77,100,11.5
20,Agropoli,IT,40.3469,14.9966,50.29,81,19,8.3
21,Alekseyevskaya,RU,50.2896,42.1845,-1.93,99,20,4.99
22,Port Alfred,ZA,-33.5906,26.891,71.08,77,100,17.67
23,Padilla,CO,3.2204,-76.3139,83.77,63,27,2.46
24,Cape Town,ZA,-33.9258,18.4232,72.1,63,0,1.99
25,Hermanus,ZA,-34.4187,19.2345,69.8,67,100,14.43
26,Bandarbeyla,SO,9.4942,50.8122,75.88,66,34,22.46
27,Teruel,ES,40.6667,-0.6667,37.36,56,0,0.85
28,Baghmara,IN,23.795,86.2085,63.05,81,4,5.41
29,Tatarsk,RU,55.219,75.9828,-15.23,100,100,4.18
30,Sinnamary,GF,5.3833,-52.95,80.91,73,11,6.8
31,Harper,LR,4.375,-7.7169,80.11,79,29,9.1
32,Tabas,IR,33.5959,56.9244,52.95,33,0,0.83
33,Tacuarembo,UY,-31.7333,-55.9833,106.14,12,2,14.43
34,Longyearbyen,SJ,78.2186,15.6401,35.44,64,40,13.8
35,Mahebourg,MU,-20.4081,57.7,80.89,83,75,13.8
36,Camacha,PT,33.0833,-16.3333,62.02,72,40,6.91
37,Tazovskiy,RU,67.4667,78.7,-7.6,97,100,11.07
38,Srostki,RU,52.4189,85.7022,3.65,93,100,2.33
39,Narsaq,GL,60.9167,-46.05,4.87,90,34,3.42
40,East London,ZA,-33.0153,27.9116,72.54,73,20,9.22
41,Labytnangi,RU,66.6572,66.4183,9.97,87,100,10.27
42,Necochea,AR,-38.5473,-58.7368,94.41,22,0,7.4
43,Standish,US,43.9831,-83.9589,35.6,75,100,6.96
44,The Valley,AI,18.217,-63.0578,82.26,65,20,12.66
45,Bonavista,CA,48.6499,-53.1147,21.11,54,47,12.21
46,Kirs,RU,59.3388,52.2447,-13.9,100,24,3.71
47,Mundwa,IN,27.0667,73.8167,53.33,52,1,4.81
48,Bykovo,RU,55.6361,38.0803,7.21,78,40,6.71
49,Busselton,AU,-33.65,115.3333,63.75,89,17,12.57
50,Kirovskiy,RU,45.0917,133.5136,-15.3,100,89,2.75
51,Upernavik,GL,72.7868,-56.1549,6.73,94,100,5.48
52,Paracatu,BR,-17.2222,-46.8747,74.07,85,100,2.08
53,Caravelas,BR,-17.7125,-39.2481,83.25,59,0,9.98
54,Carutapera,BR,-1.195,-46.02,83.59,62,19,7.23
55,Khokhryaki,RU,56.9156,53.3221,-5.82,97,10,3.65
56,Moroni,KM,-11.7022,43.2551,82.4,78,20,4.61
57,Qasigiannguit,GL,68.8193,-51.1922,1.29,93,100,6.4
58,Lubango,AO,-14.9172,13.4925,61.77,53,53,5.28
59,Talnakh,RU,69.4865,88.3972,-11.79,98,100,9.84
60,Hithadhoo,MV,-0.6,73.0833,82.6,73,100,6.67
61,Georgetown,MY,5.4112,100.3354,80.53,70,20,7.0
62,Carnarvon,AU,-24.8667,113.6333,75.27,69,0,18.41
63,Port Elizabeth,ZA,-33.918,25.5701,71.1,78,75,12.66
64,Kargil,IN,34.5667,76.1,-9.89,87,100,1.07
65,Mitsamiouli,KM,-11.3847,43.2844,82.69,78,20,4.61
66,Tasiilaq,GL,65.6145,-37.6368,10.58,69,66,6.71
67,Souillac,MU,-20.5167,57.5167,80.98,83,75,13.8
68,Punta Arenas,CL,-53.15,-70.9167,55.51,35,40,35.68
69,Mar Del Plata,AR,-38.0023,-57.5575,75.22,82,0,18.99
70,Salvador,SV,13.8333,-88.9167,81.05,35,40,6.46
71,Paamiut,GL,61.994,-49.6678,15.82,91,100,6.42
72,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,82,40,19.69
73,Parys,FR,48.8534,2.3488,41.5,87,100,3.0
74,Havelock,US,34.8791,-76.9013,56.98,56,0,7.0
75,Bilma,NE,18.6853,12.9164,66.74,6,0,7.7
76,Nantucket,US,41.2835,-70.0995,42.03,72,100,27.94
77,Bathsheba,BB,13.2167,-59.5167,84.81,54,20,18.41
78,Rocha,UY,-34.4833,-54.3333,82.85,42,0,13.02
79,Conway,US,35.0887,-92.4421,61.02,49,0,1.99
